ip,port,username,password,protocols,ping,detected,organisation,country,isocode,latitude,longitude,asn,connections,uptime,dateAdded,lastTested,lastSuccess,detection,provider
1.0.170.50,80,,,"[ProtocolDataType(type=http, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=80, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.866700172424316,100.19170379638672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1106, connections=ConnectionAttempts(success=1674, fail=26695), uptime=5.0%), ora_UK=EndpointServerData(ping=1758, connections=ConnectionAttempts(success=1129, fail=27277), uptime=3.0%), ora_JP=EndpointServerData(ping=7048, connections=ConnectionAttempts(success=1626, fail=26760), uptime=5.0%), ms_HK=EndpointServerData(ping=3675, connections=ConnectionAttempts(success=1605, fail=26757), uptime=5.0%))",,"2022-11-02 00:05:43.0","2022-11-02 00:08:07.0",,,
1.0.205.87,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,10.234600067138672,99.07990264892578,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=570, connections=ConnectionAttempts(success=520, fail=13924), uptime=3.0%), ora_UK=EndpointServerData(ping=5113, connections=ConnectionAttempts(success=365, fail=14088), uptime=2.0%), ora_JP=EndpointServerData(ping=2821, connections=ConnectionAttempts(success=509, fail=13942), uptime=3.0%), ms_HK=EndpointServerData(ping=2003, connections=ConnectionAttempts(success=542, fail=13951), uptime=3.0%))",,"2022-11-01 23:55:46.0","2022-11-02 00:07:23.0",,,
1.1.189.58,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,16.53660011291504,102.097900390625,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=8270, connections=ConnectionAttempts(success=1131, fail=13351), uptime=7.0%), ora_UK=EndpointServerData(ping=3185, connections=ConnectionAttempts(success=780, fail=13702), uptime=5.0%), ora_JP=EndpointServerData(ping=3452, connections=ConnectionAttempts(success=1095, fail=13402), uptime=7.0%), ms_HK=EndpointServerData(ping=2532, connections=ConnectionAttempts(success=1097, fail=13408), uptime=7.0%))",,"2022-11-02 00:06:34.0","2022-11-02 00:07:53.0",,,
1.1.220.100,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,19.896799087524414,99.83090209960938,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1984, connections=ConnectionAttempts(success=864, fail=13611), uptime=5.0%), ora_UK=EndpointServerData(ping=4394, connections=ConnectionAttempts(success=674, fail=13801), uptime=4.0%), ora_JP=EndpointServerData(ping=4315, connections=ConnectionAttempts(success=823, fail=13653), uptime=5.0%), ms_HK=EndpointServerData(ping=5124, connections=ConnectionAttempts(success=851, fail=13624), uptime=5.0%))",,"2022-11-02 00:06:03.0","2022-11-02 00:08:07.0",,,
1.2.252.65,8080,,,"[ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.616600036621094,100.5531005859375,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=4598, connections=ConnectionAttempts(success=993, fail=13388), uptime=6.0%), ora_UK=EndpointServerData(ping=8302, connections=ConnectionAttempts(success=712, fail=13723), uptime=4.0%), ora_JP=EndpointServerData(ping=3964, connections=ConnectionAttempts(success=983, fail=13453), uptime=6.0%), ms_HK=EndpointServerData(ping=1513, connections=ConnectionAttempts(success=984, fail=13435), uptime=6.0%))",,"2022-11-01 23:55:13.0","2022-11-02 00:07:38.0",,,
1.4.195.114,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.108400344848633,103.18360137939453,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=894, connections=ConnectionAttempts(success=764, fail=6387), uptime=10.0%), ora_UK=EndpointServerData(ping=796, connections=ConnectionAttempts(success=572, fail=6583), uptime=7.0%), ora_JP=EndpointServerData(ping=538, connections=ConnectionAttempts(success=840, fail=6314), uptime=11.0%), ms_HK=EndpointServerData(ping=452, connections=ConnectionAttempts(success=473, fail=6692), uptime=6.0%))",,"2022-11-01 23:52:58.0","2022-11-02 00:05:08.0",,,
1.9.167.36,60489,,,"[ProtocolDataType(type=socks4, port=60489, tls=true, autoRead=[false])]",,true,"Tmnet, Telekom Malaysia Bhd",Malaysia,MY,3.0608999729156494,101.75240325927734,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1034, connections=ConnectionAttempts(success=542, fail=6732), uptime=7.0%), ora_UK=EndpointServerData(ping=1150, connections=ConnectionAttempts(success=345, fail=6926), uptime=4.0%), ora_JP=EndpointServerData(ping=975, connections=ConnectionAttempts(success=703, fail=6575), uptime=9.0%), ms_HK=EndpointServerData(ping=622, connections=ConnectionAttempts(success=342, fail=6949), uptime=4.0%))",,"2022-11-02 00:02:40.0","2022-11-02 00:07:38.0",,,
1.20.95.95,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,18.790300369262695,99.00289916992188,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=916, connections=ConnectionAttempts(success=993, fail=6274), uptime=13.0%), ora_UK=EndpointServerData(ping=852, connections=ConnectionAttempts(success=684, fail=6603), uptime=9.0%), ora_JP=EndpointServerData(ping=618, connections=ConnectionAttempts(success=1086, fail=6202), uptime=14.0%), ms_HK=EndpointServerData(ping=455, connections=ConnectionAttempts(success=563, fail=6711), uptime=7.0%))",,"2022-11-01 23:59:02.0","2022-11-01 23:59:53.0",,,
1.20.137.82,32241,,,"[ProtocolDataType(type=socks4, port=32241, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,13.774900436401367,100.51969909667969,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=891, connections=ConnectionAttempts(success=861, fail=6436), uptime=11.0%), ora_UK=EndpointServerData(ping=871, connections=ConnectionAttempts(success=569, fail=6717), uptime=7.0%), ora_JP=EndpointServerData(ping=591, connections=ConnectionAttempts(success=1010, fail=6276), uptime=13.0%), ms_HK=EndpointServerData(ping=442, connections=ConnectionAttempts(success=423, fail=6868), uptime=5.0%))",,"2022-11-02 00:05:49.0","2022-11-02 00:07:52.0",,,
1.20.227.66,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Mobile Co LTD",Thailand,TH,6.249000072479248,102.03119659423828,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=914, connections=ConnectionAttempts(success=841, fail=6436), uptime=11.0%), ora_UK=EndpointServerData(ping=873, connections=ConnectionAttempts(success=622, fail=6637), uptime=8.0%), ora_JP=EndpointServerData(ping=545, connections=ConnectionAttempts(success=1021, fail=6260), uptime=14.0%), ms_HK=EndpointServerData(ping=476, connections=ConnectionAttempts(success=551, fail=6747), uptime=7.0%))",,"2022-11-02 00:02:16.0","2022-11-02 00:02:53.0",,,
1.32.57.85,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,,Malaysia,MY,4.313899993896484,100.79550170898438,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1080, connections=ConnectionAttempts(success=835, fail=6476), uptime=11.0%), ora_UK=EndpointServerData(ping=1109, connections=ConnectionAttempts(success=589, fail=6708), uptime=8.0%), ora_JP=EndpointServerData(ping=912, connections=ConnectionAttempts(success=976, fail=6329), uptime=13.0%), ms_HK=EndpointServerData(ping=588, connections=ConnectionAttempts(success=469, fail=6830), uptime=6.0%))",,"2022-11-02 00:04:56.0","2022-11-02 00:05:08.0",,,
1.32.59.217,47045,,,"[ProtocolDataType(type=http, port=47045, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=47045, tls=true, autoRead=[false]), ProtocolDataType(type=socks4, port=31981, tls=true, autoRead=[false])]",,true,,Malaysia,MY,3.188199996948242,101.70069885253906,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=5584, connections=ConnectionAttempts(success=1983, fail=19040), uptime=9.0%), ora_UK=EndpointServerData(ping=1016, connections=ConnectionAttempts(success=1450, fail=19563), uptime=6.0%), ora_JP=EndpointServerData(ping=971, connections=ConnectionAttempts(success=2071, fail=18911), uptime=9.0%), ms_HK=EndpointServerData(ping=8836, connections=ConnectionAttempts(success=1592, fail=19388), uptime=7.0%))",,"2022-11-01 23:58:25.0","2022-11-02 00:08:07.0",,,
1.179.144.41,8080,,,"[ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.050800323486328,100.16290283203125,AS131293,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1171, connections=ConnectionAttempts(success=887, fail=13544), uptime=6.0%), ora_UK=EndpointServerData(ping=2257, connections=ConnectionAttempts(success=751, fail=13648), uptime=5.0%), ora_JP=EndpointServerData(ping=2384, connections=ConnectionAttempts(success=901, fail=13502), uptime=6.0%), ms_HK=EndpointServerData(ping=2845, connections=ConnectionAttempts(success=806, fail=13628), uptime=5.0%))",,"2022-11-01 23:55:51.0","2022-11-02 00:05:52.0",,,
1.179.147.5,52210,,,"[ProtocolDataType(type=socks4, port=52210, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.050800323486328,100.16290283203125,AS131293,"PerformanceConnectData(aws_NA=EndpointServerData(ping=906, connections=ConnectionAttempts(success=1147, fail=6117), uptime=15.0%), ora_UK=EndpointServerData(ping=745, connections=ConnectionAttempts(success=772, fail=6507), uptime=10.0%), ora_JP=EndpointServerData(ping=551, connections=ConnectionAttempts(success=1307, fail=5960), uptime=17.0%), ms_HK=EndpointServerData(ping=463, connections=ConnectionAttempts(success=664, fail=6606), uptime=9.0%))",,"2022-11-02 00:03:39.0","2022-11-02 00:03:52.0",,,
