http,https,socks4,socks5
1.179.136.98:8080,1.179.136.98:8080,1.4.214.148:5678,3.131.207.170:13343
1.179.148.9:36476,1.179.148.9:36476,1.20.95.95:5678,8.209.220.34:80
3.20.236.208:49205,3.20.236.208:49205,1.32.57.85:5678,20.239.2.157:80
3.215.177.148:49205,3.215.177.148:49205,1.179.147.5:52210,24.249.199.4:4145
5.16.0.97:1256,5.16.0.97:1256,1.179.148.9:36476,24.249.199.12:4145
5.134.221.58:41890,5.134.221.58:41890,3.131.207.170:13343,37.18.73.94:5566
5.180.130.90:80,5.180.130.90:80,3.141.13.98:5678,43.156.107.62:80
12.144.254.185:9080,12.144.254.185:9080,5.83.94.8:4153,43.224.10.26:6667
12.218.209.130:13326,12.218.209.130:13326,5.178.204.235:2082,45.88.14.197:8009
14.161.31.192:53281,14.161.31.192:53281,5.178.217.227:31019,45.148.121.228:443
14.241.39.165:19132,14.241.39.165:19132,5.180.100.24:5678,46.147.194.197:1080
14.241.225.134:443,14.241.225.134:443,5.226.125.10:10801,47.56.69.11:8000
14.248.80.77:8080,14.248.80.77:8080,8.42.68.29:39593,47.57.188.208:80
18.216.72.10:5678,18.216.72.10:5678,8.42.68.125:39593,47.74.152.29:8888
18.222.17.49:49205,18.222.17.49:49205,8.42.71.1:39593,47.74.226.8:5001
23.132.48.1:999,23.132.48.1:999,8.42.71.5:39593,47.89.153.213:80
24.106.221.230:53281,24.106.221.230:53281,12.218.209.130:13326,47.92.113.71:80
24.116.218.195:8080,24.116.218.195:8080,13.58.88.184:5678,47.93.239.66:1080
24.172.34.114:49920,24.172.34.114:49920,14.63.1.108:4145,47.245.56.108:18181
27.131.179.197:10443,27.131.179.197:10443,14.160.23.139:4145,47.252.4.64:8888
27.147.193.82:8080,27.147.193.82:8080,14.161.17.4:4153,47.254.195.78:443
31.43.52.176:41890,31.43.52.176:41890,14.241.241.185:4145,49.12.156.165:80
31.128.71.241:8081,31.128.71.241:8081,18.216.72.10:5678,49.51.74.61:21127
31.129.166.5:8080,31.129.166.5:8080,20.239.2.157:80,51.83.190.248:19050
34.229.130.62:49205,34.229.130.62:49205,24.37.245.42:51056,51.222.13.193:10084
34.230.89.25:49205,34.230.89.25:49205,24.88.66.70:64312,58.20.184.187:9091
36.37.160.242:8080,36.37.160.242:8080,24.172.34.114:49920,58.215.199.34:7302
36.37.180.59:65205,36.37.180.59:65205,24.234.142.122:31008,60.12.77.43:7300
36.66.19.10:8080,36.66.19.10:8080,24.249.199.4:4145,60.198.53.23:80
36.66.171.243:8080,36.66.171.243:8080,24.249.199.12:4145,60.215.109.34:7302
36.67.11.41:8080,36.67.11.41:8080,27.72.145.184:5678,61.79.139.30:80
36.67.27.189:39674,36.67.27.189:39674,27.106.84.186:4153,66.42.224.229:41679
36.67.152.213:11111,36.67.152.213:11111,27.147.139.73:4145,66.135.227.178:4145
36.89.229.97:50540,36.89.229.97:50540,27.147.144.122:4153,67.201.33.10:25283
36.91.98.115:8181,36.91.98.115:8181,31.170.17.141:4153,67.210.146.50:11080
36.91.108.138:3128,36.91.108.138:3128,31.206.38.46:37630,68.71.249.153:48606
36.91.148.37:8080,36.91.148.37:8080,31.206.38.50:37630,69.61.200.104:36181
36.91.166.98:8080,36.91.166.98:8080,36.37.104.98:34040,70.166.167.38:57728
